Taxon Name,Influent_WWTP_1_24_24_MH1_S480,Influent_WWTP_2_1_24_MH1_S340,Influent_WWTP_1_24_24_MH2_S478,Influent_WWTP_1_24_24_MH3_S479,Influent_WWTP_1_24_24_MH4_S476,Influent_WWTP_2_1_24_MH2_S339,Influent_WWTP_2_1_24_MH3_S346,Influent_WWTP_2_1_24_MH4_S341,Influent_WWTP_2_10_24_MH2_S348,Influent_WWTP_2_10_24_MH3_S338,Influent_WWTP_2_10_24_MH4_S337,Influent_WWTP_2_14_24_MH2_S349,Influent_WWTP_2_14_24_MH3_S343,Influent_WWTP_2_14_24_MH4_S342,Influent_WWTP_7_31_23_MH2_S477,Influent_WWTP_7_31_23_MH3_S355,Influent_WWTP_7_31_23_MH4_S347,Influent_WWTP_7_24_23_MH2_S473,Influent_WWTP_7_24_23_MH3_S359,Influent_WWTP_7_24_23_MH4_S358,Influent_WWTP_7_17_23_MH2_S474,Influent_WWTP_7_17_23_MH3_S351,Influent_WWTP_7_17_23_MH4_S350,Influent_WWTP_7_10_23_MH2_S353,Influent_WWTP_7_10_23_MH3_S354
Bacteroidota bacterium,931,120,131,63,380,138,285,374,71,97,97,90,105,101,166,90,157,174,114,207,151,212,257,144,310
Candidatus Saccharibacteria bacterium,15148,64,224,1305,67,61,49,59,141,41,27,137,50,58,361,70,43,315,110,90,708,161,165,217,49
Mycolicibacterium sp.,1,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter baumannii,94919,6463,97244,85092,15569,6437,12115,11818,17404,26705,28029,16974,19011,22491,97,59,46,99,55,31,242,71,69,67,39
Burkholderiaceae bacterium,3902,349,2838,1893,629,371,667,687,677,428,523,559,456,596,423,660,699,3755,569,548,461,873,1402,641,362
all taxa with neither family nor genus classification,2667,23,179,167,19,17,56,32,58,49,23,27,21,32,207,499,610,605,597,429,252,475,818,691,324
Acinetobacter wuhouensis,95439,1844,30944,48073,3578,1307,2395,3783,10249,16878,13592,8839,8584,7925,12,12,5,13,5,8,10,13,12,17,9
Chitinophagaceae bacterium,272,24,45,24,39,17,34,36,14,4,10,12,14,9,2,8,26,12,5,8,14,25,23,22,12
uncultured bacterium,79206,10138,29848,48865,7402,8965,7720,7510,14498,8943,5802,19712,13894,11211,15776,4465,5248,8088,4761,5035,13562,5741,5732,6777,4656
Thauera chlorobenzoica,88703,877,5193,2067,951,912,924,981,1525,1326,1280,839,1071,1403,398,815,1113,914,684,502,1570,1088,1777,745,817
Burkholderia multivorans,645,105,526,383,141,175,184,182,229,112,138,193,138,175,137,107,187,342,153,97,226,157,261,161,76
Dioscorea cayenensis,84558,376,9131,18215,885,500,1515,2233,3339,4471,3516,2285,2447,1612,48,10,9,,8,6,272,5,2,11,1
uncultured Caudovirales phage,5002,67,146,171,58,53,50,75,98,58,75,78,41,24,219,109,63,961,1162,264,1174,1024,1118,246,354
Cloacibacterium normanense,77984,20971,19537,11854,70094,14509,45981,54509,1446,1755,3241,6112,14028,11994,164,87,113,397,205,275,221,323,169,220,103
uncultured prokaryote,72930,1338,44184,67731,2079,1682,1845,1875,19202,12811,4719,18509,11534,10321,8215,1449,1656,3097,1238,2704,2429,692,756,4226,2032
Burkholderiales bacterium,473,80,624,340,136,97,137,148,178,150,146,87,110,176,123,135,211,151,151,113,109,175,259,121,82
Acinetobacter johnsonii,63075,40834,412904,458344,90325,42594,82969,93351,91485,217134,257442,63672,143256,111252,138,180,87,133,108,92,245,132,165,195,271
Candidatus Competibacteraceae bacterium,7578,46,382,191,75,35,83,85,80,52,72,27,37,56,62,73,125,96,71,62,645,1534,2096,106,103
Mycobacterium sp.,111,,,,,,,,,,,,,,9,,1,,,,,,2,,
Gordonia amarae,58490,57,2470,7671,346,74,403,342,251,221,233,161,177,188,659,889,952,839,767,741,2168,5417,6821,479,139
Alphaproteobacteria bacterium,403,19,22,21,16,21,24,13,21,8,9,12,9,19,117,32,58,21,40,23,60,60,54,46,23
Acinetobacter cumulans,12475,219,3071,4094,488,229,389,446,1233,2426,1793,537,650,549,1,2,8,3,,,3,6,2,7,6
bacterium,212,198,629,433,152,232,160,118,284,170,118,239,318,289,620,326,252,429,244,152,398,205,325,208,192
Acinetobacter lwoffii,49161,1765,30196,37999,4579,2122,3184,3726,11829,28508,13834,4510,9210,6356,76,93,62,77,21,33,294,152,45,66,28
Pseudomonadota bacterium,130,8,73,57,32,22,25,31,31,35,10,10,18,25,94,95,113,218,114,74,84,119,141,67,53
Gemmobacter aquarius,48301,92,2044,2204,196,83,160,145,748,448,352,555,376,456,141,307,316,342,257,191,367,603,943,236,109
Candidatus Sulfuricurvum sp. RIFRC-1,423,7,67,708,13,15,23,18,25,8,4,62,13,14,11652,1334,2511,1008,1482,1383,8350,4522,1922,25505,2235
Moraxella osloensis,47720,151878,154625,176170,33241,161828,43118,33096,20743,40523,39312,184065,254709,202632,1203,60,965,146,74,70,168,201,101,86,23
Methylibium sp. Pch-M,284,87,568,382,139,72,179,140,190,187,243,122,145,165,95,213,288,473,96,70,341,419,187,155,50
Gammaproteobacteria bacterium,564,122,276,214,149,139,115,122,42,67,62,76,76,91,81,147,161,497,142,86,243,135,257,323,423
Variovorax paradoxus,44522,2502,8080,6844,1982,2220,2264,2180,2815,1977,2214,1972,1817,2253,5377,9713,4297,3826,7469,3039,5276,3502,4186,3601,4271
uncultured Acinetobacter sp.,247,3,3,7,2,,,1,,3,5,,,,,,,,,,,,,,
Moraxellaceae bacterium,91,54,37,33,15,62,31,24,20,11,4,36,79,19,14,2,6,12,3,,6,4,1,3,6
Pseudomonas aeruginosa,18090,2716,20407,19504,3126,2936,3378,3367,7039,6180,4476,4369,7283,4581,8272,3593,3162,3516,4806,1364,3762,3468,3502,4875,4629
Acidobacteriota bacterium,105,19,23,35,14,6,19,13,10,11,11,9,2,12,112,45,68,74,60,46,58,61,82,24,49
Acinetobacter pittii,32911,567,12798,10778,1110,658,1147,1163,4227,5124,4652,4174,3923,2664,34,13,16,17,21,13,114,31,13,34,10
Actinomycetota bacterium,153,1,14,26,2,2,,,7,2,6,,1,3,9,20,30,3,17,11,5,13,25,16,10
Betaproteobacteria bacterium,138,13,27,19,24,10,17,19,13,7,14,9,10,23,13,21,30,23,19,10,25,48,38,26,19
Sphaerotilus sp. FB-5,36177,304,1983,1061,363,306,488,434,700,657,729,314,445,507,166,320,370,206,259,182,363,687,763,213,205
Paracoccaceae bacterium,2176,33,435,469,51,28,60,64,114,118,100,77,85,111,91,193,181,159,104,108,145,288,427,146,66
Acinetobacter sp. NEB 394,33286,20651,422335,504776,85495,21499,62805,87602,66575,350082,235099,42660,142678,113290,7,5,4,8,10,6,1,17,8,10,9
Stenotrophomonas maltophilia,33191,3058,3937,3008,4611,2429,1124,2165,1303,4077,726,916,8102,6065,1790,2227,842,1781,1475,475,440,2703,4061,628,334
Escherichia coli,27528,12847,9513,32486,6196,10048,5507,7278,7604,3440,2513,14626,6733,8883,454,234,403,944,282,338,1748,474,531,438,629
Sphinx1.76-related DNA,17489,148,6566,10571,251,179,216,419,3334,306,1122,1051,647,204,,2,,,,,,,,,
Acinetobacter sp. WCHAc010034,29603,2169,11733,23114,2427,2037,2635,2424,5476,8138,6171,3851,4130,5080,18,4,11,6,7,8,5,5,9,28,2
Acinetobacter junii,7504,1783,10800,13886,2969,1695,3189,3048,3052,4112,4904,2301,3790,3135,39,27,21,29,31,13,44,38,30,36,47
Capnocytophaga sp. FDAARGOS_737,28429,3,7,,8,4,3,5,,1,1,1,,3,4,2,11,6,,6,2,1,9,24,2
TSE-associated circular DNA,28251,5,13,174,6,13,3,3,11,20,5,192,83,628,,,,,,,,,,,
Tabrizicola piscis,27957,87,2156,1882,143,108,141,156,509,367,337,363,362,478,315,759,802,868,550,525,594,1346,2281,688,335
Dechloromonas sp.,27548,2279,18884,7366,3044,2455,3389,3355,3053,3518,3964,1811,2962,3524,13935,9710,12103,68999,186102,295202,18418,12555,11065,30439,57797
Gordonia pseudamarae,27180,29,1066,3118,158,22,214,188,90,125,97,73,58,102,257,453,466,237,387,277,815,2221,2968,168,81
Flavobacteriaceae bacterium,26,37,105,35,83,31,52,67,12,15,84,34,41,34,40,18,26,72,37,109,47,104,51,62,110
Rhodanobacter thiooxydans,240,31,325,169,90,34,84,54,78,73,54,23,34,46,41,68,99,62,39,47,61,80,129,96,37
Acinetobacter haemolyticus,26236,2154,30608,27367,4889,1767,3512,3926,8302,13197,14042,6513,11394,5018,74,21,477,100,28,45,245,25,23,57,631
Brucella intermedia,150,11,72,48,12,7,14,10,12,16,21,7,16,31,69,43,41,40,44,16,11,37,56,72,26
Sphingobacteriales bacterium,13991,67,295,124,212,89,208,163,45,23,23,34,31,23,70,53,40,27,35,104,104,155,130,114,100
SPHINX/BMMF group 1 DNA sequence,23622,71,3369,2690,110,67,111,102,1402,1085,678,1223,897,286,,,,,,,,,,,2
Paracoccus sp. TOH,13503,394,2495,2292,153,386,170,138,555,441,440,490,511,572,74,307,276,227,304,301,195,347,397,191,249
Rhodocyclaceae bacterium,390,72,325,192,114,50,110,101,116,77,103,67,122,159,112,63,173,64,53,73,38,91,141,115,137
Caudoviricetes sp.,14968,11602,9085,15450,9689,10644,10414,9272,7130,6994,4484,9926,12479,11540,8713,3060,4585,3405,2351,1651,5149,2200,2162,3645,2194
Paracoccus yeei,8036,529,5871,4254,304,593,246,262,1072,820,800,1096,988,1169,250,628,614,546,570,548,512,627,973,584,413
Flavobacterium sp.,478,452,2296,1682,3717,636,2311,2488,2424,3555,4006,2830,4640,3784,30,8,20,28,16,28,35,27,13,50,79
Runella rosea,20979,70,226,53,188,80,148,212,27,56,29,38,46,29,10,12,9,17,7,7,11,26,23,14,8
Candidatus Dojkabacteria bacterium,2,,9,,1,1,,,,,,,,,,1,1,1,1,,,1,,,
Acinetobacter ursingii,7056,391,3869,7110,1020,382,658,797,801,2116,5397,1129,961,790,17,16,36,11,25,4,22,15,16,20,2
Acinetobacter bereziniae,2818,1605,7715,10764,527,336,499,560,1461,1192,2098,876,1500,653,9,4,5,6,1,6,27,7,1,14,8
Stagnimonas aquatica,22,,,,,,,,,,,,,,,,,,,,,,,,
Acidovorax sp. RAC01,18707,2484,39433,15110,5263,2416,6314,6864,7753,2562,4018,8749,4291,4288,1712,1875,3034,1850,1194,1690,1495,1359,1915,1620,778
Acidovorax carolinensis,18581,6105,50309,31744,11910,5141,12762,12638,13579,7721,10305,8429,9587,10941,26141,11659,13938,5313,3062,2472,7365,4098,6319,16587,3063
Flavobacteriales bacterium,77,129,250,62,135,43,132,143,79,60,71,78,65,81,43,86,141,73,94,57,68,107,174,235,158
Alicycliphilus denitrificans,18258,6812,39664,18431,5443,5103,5467,5642,10070,5073,5506,5419,4666,5742,2187,4945,6317,5976,4514,3759,2503,4664,9245,3762,3099
Acinetobacter sp. YH12138,17087,246,5679,8269,1338,333,438,582,2989,2676,3094,1382,1771,1171,3,4,3,,,2,13,1,2,6,
Klebsiella pneumoniae,8804,5950,10894,15468,5567,4964,4640,6087,8450,2954,3362,13988,4859,12214,801,451,279,627,250,323,428,345,377,503,474
Acinetobacter schindleri,16458,1982,17363,26796,1557,633,2044,1689,4752,10088,7829,3989,5383,4919,28,6,17,33,6,7,44,14,11,33,8
Runella slithyformis,5644,21,70,14,34,24,15,44,7,5,14,19,14,7,8,11,26,17,13,1,13,21,19,36,15
Acinetobacter sp.,960,164,4110,3931,101,130,113,589,319,402,704,224,143,64,,,,,,,,,,4,
Acinetobacter baylyi,15775,55,263,486,73,38,88,70,95,219,212,75,118,92,3,,2,6,,2,2,3,3,3,5
Mycolicibacterium litorale,15718,5,63,149,6,,18,6,25,23,18,13,9,8,76,140,188,144,164,98,152,173,201,157,87
Planctomycetota bacterium,64,7,27,13,5,3,12,11,6,4,8,6,5,3,47,44,64,34,82,31,42,57,46,40,41
uncultured archaeon,145,4,12,1,,11,4,5,3,2,4,7,1,,3,6,12,4,11,3,7,18,11,3,8
Acinetobacter sp. ACNIH1,15364,81,3801,3872,165,134,955,987,526,1203,770,217,314,230,,1,,,,,,,,2,1
Acidovorax temperans,15308,15555,54263,51376,20937,18110,21416,19058,17770,15040,18946,18412,19274,19133,4851,6950,8766,8550,5978,5759,3844,8379,10267,6724,3373
